date,actual,foundation_model
2016-05-13 19:00:00,1250,1048.8268
2016-05-13 20:00:00,720,720.82367
2016-05-13 21:00:00,380,522.5348
2016-05-13 22:00:00,330,427.0653
2016-05-13 23:00:00,370,360.8814
2016-05-14 00:00:00,350,332.18213
2016-05-14 01:00:00,380,336.43292
2016-05-14 02:00:00,360,315.75687
2016-05-14 03:00:00,360,305.35965
2016-05-14 04:00:00,360,313.05103
2016-05-14 05:00:00,340,311.18616
2016-05-14 06:00:00,380,343.20532
2016-05-14 07:00:00,680,471.1079
2016-05-14 08:00:00,800,741.90845
2016-05-14 09:00:00,710,985.76575
2016-05-14 10:00:00,950,1168.3252
2016-05-14 11:00:00,580,1202.9246
2016-05-14 12:00:00,700,1067.5992
2016-05-14 13:00:00,680,939.86945
2016-05-14 14:00:00,640,835.0962
2016-05-14 15:00:00,780,757.93054
2016-05-14 16:00:00,670,919.844
2016-05-14 17:00:00,1450,1049.4299
2016-05-14 18:00:00,1000,914.95013
2016-05-14 19:00:00,540,655.3341
2016-05-14 20:00:00,520,530.6894
2016-05-14 21:00:00,450,437.3849
2016-05-14 22:00:00,370,373.6496
2016-05-14 23:00:00,290,339.68683
2016-05-15 00:00:00,320,326.87933
2016-05-15 01:00:00,330,338.19263
2016-05-15 02:00:00,310,334.80505
2016-05-15 03:00:00,240,328.06958
2016-05-15 04:00:00,310,321.9408
2016-05-15 05:00:00,340,313.89786
2016-05-15 06:00:00,310,329.12042
2016-05-15 07:00:00,560,400.05908
2016-05-15 08:00:00,710,559.3293
2016-05-15 09:00:00,610,667.17847
2016-05-15 10:00:00,650,701.792
2016-05-15 11:00:00,630,639.9962
2016-05-15 12:00:00,580,516.6466
2016-05-15 13:00:00,820,483.94376
2016-05-15 14:00:00,530,458.7567
2016-05-15 15:00:00,560,466.42227
2016-05-15 16:00:00,860,648.29425
2016-05-15 17:00:00,1420,824.6227
2016-05-15 18:00:00,590,832.59607
2016-05-15 19:00:00,580,666.6935
2016-05-15 20:00:00,1480,544.8338
2016-05-15 21:00:00,1220,449.0193
2016-05-15 22:00:00,520,388.3339
2016-05-15 23:00:00,500,352.65674
2016-05-16 00:00:00,370,340.3617
2016-05-16 01:00:00,320,343.32693
2016-05-16 02:00:00,340,322.78024
2016-05-16 03:00:00,320,307.04205
2016-05-16 04:00:00,330,323.07864
2016-05-16 05:00:00,310,328.2791
2016-05-16 06:00:00,320,332.92422
2016-05-16 07:00:00,370,351.27527
2016-05-16 08:00:00,530,374.43042
2016-05-16 09:00:00,420,364.7306
2016-05-16 10:00:00,890,366.48608
2016-05-16 11:00:00,620,396.40363
2016-05-16 12:00:00,1240,401.4812
2016-05-16 13:00:00,1600,403.95697
2016-05-16 14:00:00,530,388.22153
2016-05-16 15:00:00,670,414.2652
2016-05-16 16:00:00,530,518.21246
2016-05-16 17:00:00,1460,821.50024
2016-05-16 18:00:00,930,808.58344
2016-05-16 19:00:00,690,706.0823
2016-05-16 20:00:00,580,597.35974
2016-05-16 21:00:00,410,464.6165
2016-05-16 22:00:00,280,387.68
2016-05-16 23:00:00,360,351.50333
2016-05-17 00:00:00,300,335.43015
2016-05-17 01:00:00,330,325.57425
2016-05-17 02:00:00,310,326.8451
2016-05-17 03:00:00,320,327.3546
2016-05-17 04:00:00,320,337.9779
2016-05-17 05:00:00,350,358.94794
2016-05-17 06:00:00,340,393.55463
2016-05-17 07:00:00,390,389.6799
2016-05-17 08:00:00,340,375.80246
2016-05-17 09:00:00,310,359.05865
2016-05-17 10:00:00,320,350.31693
2016-05-17 11:00:00,310,358.55988
2016-05-17 12:00:00,320,366.33185
2016-05-17 13:00:00,250,369.7154
2016-05-17 14:00:00,320,366.72205
2016-05-17 15:00:00,310,392.96976
2016-05-17 16:00:00,400,515.9655
2016-05-17 17:00:00,920,806.68835
2016-05-17 18:00:00,600,807.115
2016-05-17 19:00:00,740,729.5603
2016-05-17 20:00:00,710,621.2255
2016-05-17 21:00:00,390,470.11237
2016-05-17 22:00:00,280,381.1448
2016-05-17 23:00:00,330,341.41794
2016-05-18 00:00:00,310,332.50504
2016-05-18 01:00:00,320,327.5954
2016-05-18 02:00:00,330,327.11237
2016-05-18 03:00:00,310,319.68152
2016-05-18 04:00:00,310,328.23584
2016-05-18 05:00:00,390,352.75937
2016-05-18 06:00:00,420,404.08148
2016-05-18 07:00:00,320,441.0481
2016-05-18 08:00:00,370,465.73853
2016-05-18 09:00:00,390,453.4894
2016-05-18 10:00:00,350,450.51782
2016-05-18 11:00:00,420,441.93256
2016-05-18 12:00:00,340,433.20117
2016-05-18 13:00:00,520,443.37326
2016-05-18 14:00:00,490,445.37927
2016-05-18 15:00:00,500,468.32538
2016-05-18 16:00:00,630,586.08057
2016-05-18 17:00:00,710,905.9989
2016-05-18 18:00:00,1070,863.5075
2016-05-18 19:00:00,860,727.13
2016-05-18 20:00:00,1340,600.9515
2016-05-18 21:00:00,490,470.96155
2016-05-18 22:00:00,310,374.2978
2016-05-18 23:00:00,340,337.35413
2016-05-19 00:00:00,310,325.8518
2016-05-19 01:00:00,310,319.24252
2016-05-19 02:00:00,300,317.76782
2016-05-19 03:00:00,310,328.07703
2016-05-19 04:00:00,340,319.15567
2016-05-19 05:00:00,330,338.0465
2016-05-19 06:00:00,350,369.5249
2016-05-19 07:00:00,300,393.17285
2016-05-19 08:00:00,320,417.42792
2016-05-19 09:00:00,220,435.3034
2016-05-19 10:00:00,330,426.99615
2016-05-19 11:00:00,310,401.4662
2016-05-19 12:00:00,330,429.78662
2016-05-19 13:00:00,300,447.9923
2016-05-19 14:00:00,380,450.41815
2016-05-19 15:00:00,490,507.5529
2016-05-19 16:00:00,540,647.0508
2016-05-19 17:00:00,1250,940.1913
2016-05-19 18:00:00,720,978.03735
2016-05-19 19:00:00,590,753.11273
2016-05-19 20:00:00,710,613.533
2016-05-19 21:00:00,400,477.2342
2016-05-19 22:00:00,300,397.52588
2016-05-19 23:00:00,340,354.5568
2016-05-20 00:00:00,310,350.88898
2016-05-20 01:00:00,310,350.22864
2016-05-20 02:00:00,220,342.5893
2016-05-20 03:00:00,350,336.01404
2016-05-20 04:00:00,310,332.94315
2016-05-20 05:00:00,370,356.94843
2016-05-20 06:00:00,400,466.35712
2016-05-20 07:00:00,480,642.96155
2016-05-20 08:00:00,760,805.7449
2016-05-20 09:00:00,440,826.7568
2016-05-20 10:00:00,490,911.81055
2016-05-20 11:00:00,440,1003.901
2016-05-20 12:00:00,430,1021.35986
2016-05-20 13:00:00,370,965.9208
2016-05-20 14:00:00,360,895.8578
2016-05-20 15:00:00,280,916.5537
2016-05-20 16:00:00,290,1034.1167
2016-05-20 17:00:00,450,1226.3538
2016-05-20 18:00:00,470,1134.7141
2016-05-20 19:00:00,390,807.994
2016-05-20 20:00:00,420,643.5841
2016-05-20 21:00:00,390,515.06744
2016-05-20 22:00:00,320,412.2978
2016-05-20 23:00:00,270,369.40335
2016-05-21 00:00:00,290,356.44714
2016-05-21 01:00:00,310,344.72845
