date,actual,feature_model
2016-05-13 19:00:00,1250,1206.7489
2016-05-13 20:00:00,720,1171.9535
2016-05-13 21:00:00,380,719.3039
2016-05-13 22:00:00,330,390.67734
2016-05-13 23:00:00,370,328.16757
2016-05-14 00:00:00,350,348.5621
2016-05-14 01:00:00,380,331.303
2016-05-14 02:00:00,360,354.53403
2016-05-14 03:00:00,360,361.31577
2016-05-14 04:00:00,360,363.67575
2016-05-14 05:00:00,340,370.02356
2016-05-14 06:00:00,380,443.7146
2016-05-14 07:00:00,680,574.5227
2016-05-14 08:00:00,800,804.14703
2016-05-14 09:00:00,710,802.67615
2016-05-14 10:00:00,950,794.4418
2016-05-14 11:00:00,580,876.414
2016-05-14 12:00:00,700,697.4677
2016-05-14 13:00:00,680,719.1934
2016-05-14 14:00:00,640,746.6744
2016-05-14 15:00:00,780,685.5977
2016-05-14 16:00:00,670,779.0039
2016-05-14 17:00:00,1450,954.00946
2016-05-14 18:00:00,1000,1175.7963
2016-05-14 19:00:00,540,937.51917
2016-05-14 20:00:00,520,678.5368
2016-05-14 21:00:00,450,438.05035
2016-05-14 22:00:00,370,389.6746
2016-05-14 23:00:00,290,343.17337
2016-05-15 00:00:00,320,318.47498
2016-05-15 01:00:00,330,316.3913
2016-05-15 02:00:00,310,325.22986
2016-05-15 03:00:00,240,320.422
2016-05-15 04:00:00,310,321.53967
2016-05-15 05:00:00,340,322.9444
2016-05-15 06:00:00,310,410.85745
2016-05-15 07:00:00,560,429.73227
2016-05-15 08:00:00,710,700.7468
2016-05-15 09:00:00,610,753.0338
2016-05-15 10:00:00,650,710.99817
2016-05-15 11:00:00,630,631.20013
2016-05-15 12:00:00,580,652.44666
2016-05-15 13:00:00,820,606.5407
2016-05-15 14:00:00,530,646.48865
2016-05-15 15:00:00,560,679.7473
2016-05-15 16:00:00,860,804.39935
2016-05-15 17:00:00,1420,1104.4877
2016-05-15 18:00:00,590,1365.9232
2016-05-15 19:00:00,580,777.8994
2016-05-15 20:00:00,1480,589.6805
2016-05-15 21:00:00,1220,678.02545
2016-05-15 22:00:00,520,650.11237
2016-05-15 23:00:00,500,483.84506
2016-05-16 00:00:00,370,426.7581
2016-05-16 01:00:00,320,342.14523
2016-05-16 02:00:00,340,320.6385
2016-05-16 03:00:00,320,314.2984
2016-05-16 04:00:00,330,321.0741
2016-05-16 05:00:00,310,341.98645
2016-05-16 06:00:00,320,331.73578
2016-05-16 07:00:00,370,402.81436
2016-05-16 08:00:00,530,517.16644
2016-05-16 09:00:00,420,617.9267
2016-05-16 10:00:00,890,670.02203
2016-05-16 11:00:00,620,715.47266
2016-05-16 12:00:00,1240,892.16876
2016-05-16 13:00:00,1600,811.21967
2016-05-16 14:00:00,530,1039.7284
2016-05-16 15:00:00,670,839.36835
2016-05-16 16:00:00,530,818.22546
2016-05-16 17:00:00,1460,892.2801
2016-05-16 18:00:00,930,1035.7808
2016-05-16 19:00:00,690,747.21216
2016-05-16 20:00:00,580,716.0417
2016-05-16 21:00:00,410,521.39233
2016-05-16 22:00:00,280,437.04062
2016-05-16 23:00:00,360,364.82663
2016-05-17 00:00:00,300,329.5703
2016-05-17 01:00:00,330,318.8775
2016-05-17 02:00:00,310,314.73413
2016-05-17 03:00:00,320,316.42584
2016-05-17 04:00:00,320,318.73398
2016-05-17 05:00:00,350,348.1757
2016-05-17 06:00:00,340,361.70743
2016-05-17 07:00:00,390,382.59128
2016-05-17 08:00:00,340,496.0511
2016-05-17 09:00:00,310,350.37323
2016-05-17 10:00:00,320,411.79892
2016-05-17 11:00:00,310,386.09192
2016-05-17 12:00:00,320,434.54874
2016-05-17 13:00:00,250,463.34723
2016-05-17 14:00:00,320,364.90244
2016-05-17 15:00:00,310,383.50006
2016-05-17 16:00:00,400,393.57117
2016-05-17 17:00:00,920,860.84576
2016-05-17 18:00:00,600,1085.2356
2016-05-17 19:00:00,740,778.9651
2016-05-17 20:00:00,710,612.5728
2016-05-17 21:00:00,390,515.4876
2016-05-17 22:00:00,280,384.25244
2016-05-17 23:00:00,330,337.0573
2016-05-18 00:00:00,310,318.946
2016-05-18 01:00:00,320,318.99142
2016-05-18 02:00:00,330,310.15222
2016-05-18 03:00:00,310,322.87436
2016-05-18 04:00:00,310,317.19275
2016-05-18 05:00:00,390,363.55136
2016-05-18 06:00:00,420,409.62244
2016-05-18 07:00:00,320,553.2606
2016-05-18 08:00:00,370,419.13403
2016-05-18 09:00:00,390,427.70166
2016-05-18 10:00:00,350,411.12006
2016-05-18 11:00:00,420,361.77347
2016-05-18 12:00:00,340,488.4726
2016-05-18 13:00:00,520,366.50766
2016-05-18 14:00:00,490,516.5174
2016-05-18 15:00:00,500,530.9286
2016-05-18 16:00:00,630,577.10034
2016-05-18 17:00:00,710,891.4476
2016-05-18 18:00:00,1070,968.6616
2016-05-18 19:00:00,860,942.07855
2016-05-18 20:00:00,1340,695.85986
2016-05-18 21:00:00,490,655.90295
2016-05-18 22:00:00,310,460.8543
2016-05-18 23:00:00,340,339.35626
2016-05-19 00:00:00,310,309.3585
2016-05-19 01:00:00,310,311.4395
2016-05-19 02:00:00,300,311.2318
2016-05-19 03:00:00,310,312.8969
2016-05-19 04:00:00,340,318.3838
2016-05-19 05:00:00,330,339.7854
2016-05-19 06:00:00,350,333.94055
2016-05-19 07:00:00,300,373.32965
2016-05-19 08:00:00,320,363.1942
2016-05-19 09:00:00,220,353.6748
2016-05-19 10:00:00,330,324.08234
2016-05-19 11:00:00,310,332.43497
2016-05-19 12:00:00,330,330.3623
2016-05-19 13:00:00,300,377.52515
2016-05-19 14:00:00,380,349.94275
2016-05-19 15:00:00,490,490.34683
2016-05-19 16:00:00,540,592.37024
2016-05-19 17:00:00,1250,822.55536
2016-05-19 18:00:00,720,985.5613
2016-05-19 19:00:00,590,843.91907
2016-05-19 20:00:00,710,672.2273
2016-05-19 21:00:00,400,508.4852
2016-05-19 22:00:00,300,367.82135
2016-05-19 23:00:00,340,310.87323
2016-05-20 00:00:00,310,308.54636
2016-05-20 01:00:00,310,309.38016
2016-05-20 02:00:00,220,311.54916
2016-05-20 03:00:00,350,304.72733
2016-05-20 04:00:00,310,338.3441
2016-05-20 05:00:00,370,361.09613
2016-05-20 06:00:00,400,485.943
2016-05-20 07:00:00,480,627.3381
2016-05-20 08:00:00,760,834.4961
2016-05-20 09:00:00,440,737.06415
2016-05-20 10:00:00,490,784.3051
2016-05-20 11:00:00,440,855.00946
2016-05-20 12:00:00,430,772.5775
2016-05-20 13:00:00,370,597.4954
2016-05-20 14:00:00,360,480.51794
2016-05-20 15:00:00,280,433.22958
2016-05-20 16:00:00,290,431.45593
2016-05-20 17:00:00,450,593.3389
2016-05-20 18:00:00,470,925.8913
2016-05-20 19:00:00,390,719.3509
2016-05-20 20:00:00,420,489.9499
2016-05-20 21:00:00,390,438.5066
2016-05-20 22:00:00,320,388.0559
2016-05-20 23:00:00,270,336.88077
2016-05-21 00:00:00,290,314.02762
2016-05-21 01:00:00,310,333.75107
2016-05-21 02:00:00,340,322.664
2016-05-21 03:00:00,290,328.99677
2016-05-21 04:00:00,340,332.49445
2016-05-21 05:00:00,310,336.3069
2016-05-21 06:00:00,360,367.5539
2016-05-21 07:00:00,340,477.7663
2016-05-21 08:00:00,1250,459.809
2016-05-21 09:00:00,1860,916.7975
2016-05-21 10:00:00,2300,1529.6849
2016-05-21 11:00:00,2590,1568.0404
2016-05-21 12:00:00,1370,1671.6737
2016-05-21 13:00:00,2060,1794.2367
2016-05-21 14:00:00,1820,1600.486
2016-05-21 15:00:00,2170,1494.0065
2016-05-21 16:00:00,600,1361.4159
2016-05-21 17:00:00,570,1137.7827
2016-05-21 18:00:00,750,1128.641
2016-05-21 19:00:00,650,806.7331
2016-05-21 20:00:00,570,651.75287
2016-05-21 21:00:00,810,426.31863
2016-05-21 22:00:00,440,448.56003
2016-05-21 23:00:00,890,418.2949
2016-05-22 00:00:00,360,529.0333
2016-05-22 01:00:00,340,490.48398
2016-05-22 02:00:00,310,371.08276
2016-05-22 03:00:00,320,320.23825
2016-05-22 04:00:00,330,329.58725
2016-05-22 05:00:00,300,335.29868
2016-05-22 06:00:00,350,347.06552
2016-05-22 07:00:00,380,436.5276
2016-05-22 08:00:00,1140,574.8777
2016-05-22 09:00:00,680,1063.5284
2016-05-22 10:00:00,1210,1081.4833
2016-05-22 11:00:00,2060,1060.7861
2016-05-22 12:00:00,760,1247.3785
2016-05-22 13:00:00,620,1098.9806
2016-05-22 14:00:00,640,957.8713
2016-05-22 15:00:00,580,742.58484
2016-05-22 16:00:00,530,667.5153
2016-05-22 17:00:00,1590,754.7569
2016-05-22 18:00:00,720,1023.62274
2016-05-22 19:00:00,580,908.8848
2016-05-22 20:00:00,700,741.6578
2016-05-22 21:00:00,530,660.085
2016-05-22 22:00:00,470,465.17746
2016-05-22 23:00:00,360,521.6926
2016-05-23 00:00:00,350,361.2229
2016-05-23 01:00:00,310,329.0643
2016-05-23 02:00:00,350,323.19434
2016-05-23 03:00:00,310,334.21973
2016-05-23 04:00:00,300,328.525
2016-05-23 05:00:00,400,353.61017
2016-05-23 06:00:00,360,452.3476
2016-05-23 07:00:00,340,501.05374
2016-05-23 08:00:00,310,481.49954
2016-05-23 09:00:00,330,479.67184
2016-05-23 10:00:00,310,467.225
2016-05-23 11:00:00,340,505.91852
2016-05-23 12:00:00,370,477.0651
2016-05-23 13:00:00,340,490.04758
2016-05-23 14:00:00,350,395.87207
2016-05-23 15:00:00,440,407.36215
2016-05-23 16:00:00,940,564.4211
2016-05-23 17:00:00,2280,1104.215
2016-05-23 18:00:00,740,1647.0032
2016-05-23 19:00:00,720,886.43256
2016-05-23 20:00:00,630,775.7078
2016-05-23 21:00:00,410,589.0296
2016-05-23 22:00:00,380,443.33
2016-05-23 23:00:00,350,420.3878
2016-05-24 00:00:00,300,324.0844
2016-05-24 01:00:00,340,315.44525
2016-05-24 02:00:00,330,329.3329
2016-05-24 03:00:00,320,317.9046
2016-05-24 04:00:00,320,327.83356
2016-05-24 05:00:00,640,331.0272
2016-05-24 06:00:00,430,519.7557
2016-05-24 07:00:00,970,683.80975
2016-05-24 08:00:00,340,642.45746
2016-05-24 09:00:00,230,511.14047
2016-05-24 10:00:00,400,383.90292
2016-05-24 11:00:00,610,465.097
2016-05-24 12:00:00,770,551.4902
2016-05-24 13:00:00,710,601.7884
2016-05-24 14:00:00,900,622.192
2016-05-24 15:00:00,850,742.6499
2016-05-24 16:00:00,850,1006.05865
2016-05-24 17:00:00,1220,1279.4248
2016-05-24 18:00:00,820,1101.6218
2016-05-24 19:00:00,740,818.118
2016-05-24 20:00:00,580,693.21454
2016-05-24 21:00:00,460,459.93146
2016-05-24 22:00:00,370,404.16287
2016-05-24 23:00:00,350,347.41852
2016-05-25 00:00:00,320,321.87848
2016-05-25 01:00:00,320,315.95227
2016-05-25 02:00:00,340,317.14697
2016-05-25 03:00:00,290,317.41742
2016-05-25 04:00:00,330,320.72708
2016-05-25 05:00:00,330,422.9372
2016-05-25 06:00:00,330,368.9858
2016-05-25 07:00:00,390,480.3058
2016-05-25 08:00:00,500,486.46228
2016-05-25 09:00:00,540,608.8156
2016-05-25 10:00:00,470,584.4246
2016-05-25 11:00:00,300,602.52374
2016-05-25 12:00:00,360,435.86572
2016-05-25 13:00:00,430,472.3188
2016-05-25 14:00:00,480,551.8998
2016-05-25 15:00:00,480,542.7893
2016-05-25 16:00:00,1390,573.09326
2016-05-25 17:00:00,710,956.64343
2016-05-25 18:00:00,940,965.8109
2016-05-25 19:00:00,710,728.1161
2016-05-25 20:00:00,1140,664.6286
2016-05-25 21:00:00,340,572.00543
2016-05-25 22:00:00,320,319.8177
2016-05-25 23:00:00,320,340.5139
2016-05-26 00:00:00,320,309.27185
2016-05-26 01:00:00,330,310.6855
2016-05-26 02:00:00,300,311.93195
2016-05-26 03:00:00,340,315.1278
2016-05-26 04:00:00,300,321.17328
2016-05-26 05:00:00,340,374.88098
2016-05-26 06:00:00,370,382.34756
2016-05-26 07:00:00,600,452.62677
2016-05-26 08:00:00,940,568.3511
2016-05-26 09:00:00,1660,686.79974
2016-05-26 10:00:00,1590,1086.0522
2016-05-26 11:00:00,1460,1164.8339
2016-05-26 12:00:00,1330,1164.3066
2016-05-26 13:00:00,450,1056.4836
2016-05-26 14:00:00,410,810.35846
2016-05-26 15:00:00,370,583.33234
2016-05-26 16:00:00,2970,546.49677
2016-05-26 17:00:00,2640,1428.3201
2016-05-26 18:00:00,1290,1613.9321
2016-05-26 19:00:00,1340,1266.1553
2016-05-26 20:00:00,550,1134.8137
2016-05-26 21:00:00,460,540.5512
2016-05-26 22:00:00,420,491.8347
2016-05-26 23:00:00,390,384.6385
2016-05-27 00:00:00,360,348.41232
2016-05-27 01:00:00,350,330.2386
2016-05-27 02:00:00,300,318.8023
2016-05-27 03:00:00,350,311.25644
2016-05-27 04:00:00,350,324.27393
2016-05-27 05:00:00,350,345.32318
2016-05-27 06:00:00,380,376.91745
2016-05-27 07:00:00,670,499.9091
2016-05-27 08:00:00,780,761.63293
2016-05-27 09:00:00,1510,781.15155
2016-05-27 10:00:00,1510,984.5678
2016-05-27 11:00:00,1860,1055.0353
2016-05-27 12:00:00,1110,1125.7449
2016-05-27 13:00:00,1590,1074.3344
2016-05-27 14:00:00,610,1137.5525
2016-05-27 15:00:00,460,895.27783
2016-05-27 16:00:00,810,898.71686
2016-05-27 17:00:00,1080,928.8223
2016-05-27 18:00:00,430,1079.0614
