p,d,q,AIC,converged
6,0,3,43530.17907926848,False
5,0,3,43544.88822902205,False
5,0,4,43551.061526958016,False
6,0,6,43577.59255275685,False
5,0,6,43584.235649175156,False
4,1,6,43584.99069548673,False
1,1,6,43585.258151588874,False
5,1,6,43587.149944876546,False
1,0,6,43587.258749471366,True
2,1,6,43588.15987049487,False
2,0,6,43588.955715339434,True
6,1,6,43589.93539807256,False
6,0,5,43590.022221924286,False
4,0,6,43590.696933621555,True
3,0,6,43590.769748596525,True
3,1,6,43590.95350822688,False
0,1,6,43593.29934893214,True
6,1,2,43598.954555059696,False
6,0,0,43599.22014848449,True
6,0,2,43600.77907766827,True
6,0,1,43601.19405554277,True
4,0,5,43602.07898643742,False
1,1,5,43602.723798981286,False
1,0,5,43603.36086286919,True
3,0,5,43604.71947297445,True
0,0,6,43604.74275508619,True
6,1,1,43604.87688425234,False
5,0,5,43611.04716255165,False
5,0,2,43616.749372703656,True
2,0,5,43616.79329955952,True
4,0,4,43617.582044043476,True
2,1,4,43618.79066226769,True
5,0,0,43619.21808756635,True
1,0,4,43620.97096356246,True
2,1,5,43621.105399444845,False
5,0,1,43621.22276061874,True
1,1,4,43621.32291136376,True
6,0,4,43622.300713861994,False
3,1,4,43622.37396371147,False
5,1,2,43622.64579514093,False
2,0,4,43622.67099662629,True
0,0,5,43623.3781003763,True
3,0,4,43623.670706375015,True
5,1,3,43624.503399629924,False
4,1,4,43624.902232677916,False
5,1,1,43624.94251953876,True
0,1,5,43630.14761761503,True
4,1,2,43630.362387169334,False
4,0,0,43631.402258029906,True
4,0,2,43631.41456062066,True
5,1,5,43631.7280201513,False
1,0,3,43632.681017504045,True
4,0,1,43633.39268009142,True
4,0,3,43633.436246457,True
2,0,3,43634.44102886363,True
3,0,3,43636.44359710661,True
4,1,3,43638.15012265644,False
1,1,3,43638.96938647838,True
6,1,5,43639.642689373926,False
3,1,3,43640.19038737843,False
2,1,3,43640.67125896858,False
4,1,1,43643.583303194624,True
6,1,4,43644.21095234577,False
6,1,3,43645.13803569865,False
1,0,2,43645.190854392444,True
2,0,2,43647.357799515725,True
3,0,2,43648.61166058235,True
3,0,0,43651.348760697365,True
4,1,5,43652.61583269588,True
3,1,5,43652.704611260764,False
3,0,1,43653.19619122849,True
2,1,2,43655.089049483,False
3,1,2,43662.52174522301,True
0,0,4,43664.27086833857,True
3,1,1,43666.88450452161,True
2,0,0,43668.417806514844,True
2,0,1,43668.544859516,True
5,1,4,43683.19145430482,False
2,1,1,43685.372344543095,True
0,1,4,43685.524919643634,True
1,1,2,43689.732499336234,True
0,2,6,43694.555257716725,True
1,0,1,43708.12830908935,True
2,2,5,43712.95620731957,False
0,0,3,43715.93546661761,True
4,2,4,43715.94743609657,True
1,2,6,43717.296545369376,True
6,2,2,43744.91843441468,False
0,2,5,43747.42503638162,True
3,2,6,43757.369638492586,False
5,2,4,43759.88109179748,False
5,2,2,43771.17442960685,False
1,1,1,43791.48998755146,True
2,2,6,43798.59631302712,True
1,0,0,43801.840201099345,True
2,2,2,43812.347762697405,True
1,2,5,43819.426588150105,True
4,2,2,43834.69243908149,False
0,1,3,43837.937862649116,True
2,2,3,43846.723064964506,False
0,0,2,43865.35569360675,True
6,1,0,43869.170281975865,True
0,2,4,43875.499626521414,False
6,2,4,43883.72815736628,False
1,2,2,43897.938473643095,True
3,2,5,43903.02495802171,False
5,1,0,43904.95831647444,True
5,2,6,43911.21954294099,False
5,2,3,43917.04766317821,False
6,2,3,43923.4580836548,False
3,2,4,43923.62969290072,False
6,2,1,43933.56210446555,True
4,2,6,43938.19521920435,False
4,1,0,43943.105164296496,True
2,2,4,43954.00094692507,False
1,2,4,43955.42272150407,False
6,2,5,43966.868094851794,False
6,2,6,43967.62434473328,False
4,2,3,43971.0344356122,False
0,1,2,43973.20942976701,True
4,2,5,43977.77740574176,False
5,2,5,43984.98824280152,False
5,2,1,43988.28007636273,False
0,1,1,43988.66406375095,True
3,1,0,43990.313728950394,True
1,2,3,43997.715430214914,True
0,2,3,44001.097887847805,True
2,2,1,44013.62772201626,True
3,2,3,44013.639486577806,False
2,1,0,44018.23404404026,True
4,2,1,44020.5908331699,False
3,2,1,44030.78131892932,False
3,2,2,44051.445495593434,False
1,1,0,44054.293494770085,True
0,2,2,44086.04877066723,True
1,2,1,44179.30924308781,True
0,0,1,44250.392159733645,True
0,2,1,44464.71344429154,True
0,1,0,44484.110134527145,True
6,2,0,44518.137562127464,True
5,2,0,44657.30475589477,True
4,2,0,44796.86551501048,True
0,0,0,44985.087177722155,True
3,2,0,44987.40087870635,True
2,2,0,45225.01961717231,True
1,2,0,45782.718606066606,True
0,2,0,47441.24461834761,True
